,popularity,acousticness,danceability,energy,liveness,loudness,tempo,name,clusters
77,61,0.0773,0.602,0.896,0.091,-4.267,124.978,Red,76
78,50,0.0231,0.595,0.957,0.142,-0.884,160.022,Genre Police,57
79,32,0.000555,0.625,0.934,0.111,-2.869,87.023,1940 - AmpLive Remix,65
80,0,0.00317,0.399,0.612,0.127,-7.814,128.167,Oblivion (feat. Susanne Sundfør),12
81,0,0.395,0.439,0.469,0.183,-9.283,127.44,Transatlanticism,66
82,0,0.399,0.499,0.673,0.208,-4.505,121.87,Kids in Love (feat. The Night Game),66
83,44,0.772,0.218,0.19,0.133,-20.281,78.962,"Flying Theme (From ""E.T. the Extra-Terrestrial"")",34
84,55,0.00571,0.446,0.804,0.696,-6.906,169.987,Animals,69
85,54,0.00828,0.71,0.901,0.172,-2.686,125.953,I Love It,76
86,0,0.536,0.498,0.468,0.242,-7.425,108.128,With Arms Outstretched,66
87,70,0.743,0.707,0.656,0.172,-9.279,118.037,Where You Are,33
88,63,0.0191,0.826,0.614,0.0865,-4.22,126.046,Sissy That Walk,58
89,0,0.283,0.703,0.747,0.396,-4.446,149.974,Bang Bang,44
90,19,0.958,0.301,0.116,0.0793,-18.928,116.112,"Brahms: Piano Quintet in F Minor, Op. 34a: I. Allegro non troppo",61
91,52,0.000109,0.331,0.845,0.0758,-4.876,153.484,Diamond Eyes,47
92,63,0.583,0.663,0.666,0.222,-5.441,159.983,Dreams,62
93,0,0.312,0.65,0.576,0.116,-10.406,95.017,Whistle,10
94,0,0.206,0.711,0.807,0.0854,-8.817,118.819,I Wanna Dance with Somebody (Who Loves Me),4
95,0,0.77,0.625,0.482,0.106,-7.926,125.979,Landfill,19
96,57,0.705,0.831,0.794,0.0978,-3.701,118.075,Baby I'm Yours - feat. Irfrane,54
97,33,0.652,0.8,0.603,0.188,-6.648,103.984,The Boogie Monster,33
98,80,0.125,0.555,0.662,0.111,-4.952,148.128,Mercy,57
99,65,2.55e-05,0.54,0.977,0.0533,-3.409,106.907,Ten Thousand Fists,65
100,3,0.151,0.883,0.85,0.158,-4.964,93.951,Fatty Boom Boom,27
101,53,0.963,0.572,0.319,0.161,-6.206,110.922,Bruises,33
102,0,0.00716,0.726,0.768,0.168,-4.831,130.968,Dark Sunglasses,12
103,51,0.00348,0.461,0.89,0.0953,-5.167,155.05,Thnks fr th Mmrs,5
104,0,0.369,0.283,0.723,0.13,-10.902,143.721,Ellos Dicen Mierda,8
105,50,0.115,0.511,0.899,0.107,-5.323,121.0,The Girl and the Robot,57
106,0,0.00408,0.595,0.679,0.0967,-7.335,125.006,Lichtgestalt,13
107,70,0.0422,0.598,0.673,0.289,-10.431,102.034,Kung Fu Fighting,22
108,0,0.442,0.519,0.499,0.0743,-8.649,108.012,The Greatest Showman Medley: Come Alive / This Is Me / From Now On,66
109,0,0.204,0.752,0.695,0.146,-5.776,118.144,The General Specific,12
110,57,0.474,0.39,0.37,0.115,-8.288,176.526,"New York, I Love You but You're Bringing Me Down",67
111,72,0.0476,0.782,0.589,0.0366,-7.37,85.022,American Kids,16
112,50,0.119,0.562,0.72,0.12,-6.286,119.969,Nothing Arrived,57
