name,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Judge and Jury (Paul Dinletir Remix),213681,0,0.0499,0.647,0.363,0.757,0.0754,-10.981,0.0438,120.102
Which Witch,259208,51,0.00761,0.507,0.662,0,0.259,-6.986,0.0492,134.88
Fancy,199938,71,0.0904,0.912,0.716,0,0.0491,-4.141,0.0697,94.981
New Day,245440,38,0.139,0.501,0.629,0,0.228,-5.227,0.0278,143.926
Straight Razor,266506,49,0.00857,0.546,0.676,0.000134,0.338,-5.776,0.0387,135.706
Beer Can’t Fix,209733,0,0.0317,0.711,0.774,0,0.124,-4.068,0.0308,111.016
Robot Rock,287720,62,6.94e-06,0.59,0.787,0.845,0.0293,-5.766,0.0512,111.926
The Portrait,283226,51,0.995,0.297,0.0214,0.934,0.0652,-32.398,0.0658,212.349
Games People Play,260266,27,0.421,0.702,0.456,2.92e-05,0.113,-16.992,0.0372,132.73
Lift,246840,0,0.00226,0.309,0.547,0.836,0.108,-7.752,0.0297,156.736
Simple Science - Radio Edit,238040,25,0.0123,0.678,0.715,0.000145,0.163,-7.656,0.0316,116.995
Sing Me to Sleep - Marshmello Remix,192480,57,0.0383,0.62,0.893,0.000304,0.159,-1.718,0.0436,101.089
Superstition - Single Version,244826,0,0.0172,0.642,0.735,0.000733,0.0391,-8.866,0.0806,99.682
Shallow - Radio Edit,217212,74,0.416,0.575,0.33,0,0.0872,-6.557,0.031,95.801
Are You In?,264200,0,0.24,0.526,0.587,0.243,0.886,-8.733,0.039,93.986
The Golden Floor,197906,25,0.299,0.737,0.709,0.0018,0.11,-9.756,0.035,105.961
Gangsta Walk (feat. Nate Dogg),184067,42,0.0807,0.874,0.728,0.105,0.559,-4.921,0.039,118.009
Something Different,161499,52,0.0263,0.901,0.531,0,0.097,-4.118,0.0791,105.026
Crazy He Calls Me - Single Version,182426,0,0.863,0.343,0.128,5.06e-06,0.161,-14.76,0.054,75.564
Raindrops Keep Fallin' On My Head,184493,9,0.813,0.519,0.446,0.000124,0.11,-9.287,0.0388,104.962
Don't Let This Feeling Fade (feat. Rivers Cuomo & Lecrae),216685,42,0.00723,0.633,0.872,0,0.0524,-4.112,0.0717,116.936
Red,220826,61,0.0773,0.602,0.896,8.87e-05,0.091,-4.267,0.0437,124.978
Genre Police,196499,50,0.0231,0.595,0.957,8.3e-05,0.142,-0.884,0.0858,160.022
1940 - AmpLive Remix,194880,32,0.000555,0.625,0.934,0.0897,0.111,-2.869,0.0584,87.023
Oblivion (feat. Susanne Sundfør),356674,0,0.00317,0.399,0.612,0.33,0.127,-7.814,0.0358,128.167
Transatlanticism,475093,0,0.395,0.439,0.469,0.573,0.183,-9.283,0.0311,127.44
Kids in Love (feat. The Night Game),263400,0,0.399,0.499,0.673,1.21e-06,0.208,-4.505,0.0348,121.87
"Flying Theme (From ""E.T. the Extra-Terrestrial"")",222773,44,0.772,0.218,0.19,0.749,0.133,-20.281,0.0355,78.962
Animals,262813,55,0.00571,0.446,0.804,0.796,0.696,-6.906,0.0307,169.987
I Love It,156773,54,0.00828,0.71,0.901,1.34e-05,0.172,-2.686,0.0296,125.953
With Arms Outstretched,223133,0,0.536,0.498,0.468,0,0.242,-7.425,0.0268,108.128
Where You Are,210320,70,0.743,0.707,0.656,0,0.172,-9.279,0.173,118.037
Sissy That Walk,212693,63,0.0191,0.826,0.614,0.0172,0.0865,-4.22,0.0561,126.046
Bang Bang,199320,0,0.283,0.703,0.747,0,0.396,-4.446,0.0895,149.974
"Brahms: Piano Quintet in F Minor, Op. 34a: I. Allegro non troppo",902600,19,0.958,0.301,0.116,0.856,0.0793,-18.928,0.0484,116.112
Diamond Eyes,188266,52,0.000109,0.331,0.845,0.000212,0.0758,-4.876,0.0551,153.484
Dreams,147020,63,0.583,0.663,0.666,3.85e-06,0.222,-5.441,0.125,159.983
Whistle,184748,0,0.312,0.65,0.576,2.39e-05,0.116,-10.406,0.0359,95.017
I Wanna Dance with Somebody (Who Loves Me),290426,0,0.206,0.711,0.807,0.000387,0.0854,-8.817,0.0456,118.819
Landfill,263809,0,0.77,0.625,0.482,0,0.106,-7.926,0.044,125.979
Baby I'm Yours - feat. Irfrane,215786,57,0.705,0.831,0.794,3.4e-05,0.0978,-3.701,0.0752,118.075
The Boogie Monster,170453,33,0.652,0.8,0.603,0.47,0.188,-6.648,0.0332,103.984
Mercy,208733,80,0.125,0.555,0.662,0,0.111,-4.952,0.0827,148.128
Ten Thousand Fists,212040,65,2.55e-05,0.54,0.977,0.0588,0.0533,-3.409,0.0876,106.907
Fatty Boom Boom,225986,3,0.151,0.883,0.85,1.82e-05,0.158,-4.964,0.211,93.951
Bruises,218492,53,0.963,0.572,0.319,0,0.161,-6.206,0.0685,110.922
Dark Sunglasses,185226,0,0.00716,0.726,0.768,0.00658,0.168,-4.831,0.0403,130.968
Thnks fr th Mmrs,208253,51,0.00348,0.461,0.89,0,0.0953,-5.167,0.0628,155.05
Ellos Dicen Mierda,278986,0,0.369,0.283,0.723,0.627,0.13,-10.902,0.0365,143.721
The Girl and the Robot,268893,50,0.115,0.511,0.899,0.000105,0.107,-5.323,0.0601,121.0
Lichtgestalt,318906,0,0.00408,0.595,0.679,8.67e-05,0.0967,-7.335,0.0405,125.006
Kung Fu Fighting,197693,70,0.0422,0.598,0.673,6.9e-05,0.289,-10.431,0.0693,102.034
The Greatest Showman Medley: Come Alive / This Is Me / From Now On,264350,0,0.442,0.519,0.499,1.04e-05,0.0743,-8.649,0.0603,108.012
The General Specific,187053,0,0.204,0.752,0.695,0.00484,0.146,-5.776,0.0279,118.144
"New York, I Love You but You're Bringing Me Down",335480,57,0.474,0.39,0.37,0.00013,0.115,-8.288,0.0457,176.526
American Kids,182960,72,0.0476,0.782,0.589,5.84e-06,0.0366,-7.37,0.0803,85.022
Nothing Arrived,223935,50,0.119,0.562,0.72,0.0023,0.12,-6.286,0.0323,119.969
Two Princes,256946,69,0.00165,0.544,0.905,1.97e-06,0.0532,-10.732,0.0646,103.594
Redeemed,276186,58,0.374,0.329,0.509,0,0.12,-6.607,0.0333,127.119
Jesus Paid It All,224720,0,0.746,0.35,0.226,4.87e-06,0.0826,-12.637,0.0292,76.821
Everybody Wants To Rule The World,251488,84,0.347,0.645,0.795,0.00389,0.104,-12.095,0.0527,112.067
Rose-Colored Boy,212853,65,0.00199,0.768,0.826,0.000374,0.031,-4.904,0.0335,114.997
Bodak Yellow,223712,75,0.0659,0.926,0.703,0,0.231,-6.337,0.103,125.022
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",202804,74,0.00413,0.653,0.718,0,0.0537,-5.232,0.213,82.034
Rockabye (feat. Sean Paul & Anne-Marie),251088,78,0.406,0.72,0.763,0,0.18,-4.068,0.0523,101.965
Complicated,244506,80,0.0572,0.585,0.776,7.74e-06,0.3,-5.898,0.0459,77.987
Firestarter,279800,1,0.00339,0.534,0.946,0.442,0.164,-5.167,0.0793,141.517
When Pleasure Fails,194326,0,0.899,0.439,0.387,0.00167,0.111,-9.158,0.0446,79.658
Yours,216960,1,0.119,0.555,0.722,0,0.0861,-6.005,0.034,134.058
Fast,206213,57,0.2,0.548,0.901,0,0.1,-2.637,0.0453,145.953
Where It's At,329573,0,0.24,0.673,0.662,0.0289,0.126,-7.384,0.0732,96.948
Stop Me (Remix) (feat. JGivens),211363,27,0.128,0.681,0.68,0,0.0658,-9.247,0.192,87.957
In The Room Where You Sleep,236826,46,0.708,0.607,0.861,0.879,0.279,-10.461,0.326,139.04
Greenpath,217013,54,0.889,0.453,0.295,0.861,0.256,-16.465,0.0354,169.851
Rett i foret,258770,0,0.249,0.62,0.676,0.000538,0.202,-6.57,0.0448,150.02
Stand Up,263213,68,0.0193,0.498,0.702,3.68e-06,0.0669,-7.833,0.0401,79.3
Dance Again,237266,70,0.0159,0.792,0.856,2.88e-06,0.0981,-5.236,0.067,127.988
Blind,201600,49,0.13,0.448,0.761,0,0.0823,-4.741,0.221,149.687
Ameno,235226,0,0.0919,0.605,0.532,0.000576,0.0762,-10.872,0.0337,102.804
"Becoming one of ""The People"" Becoming one with Neytiri",463706,57,0.692,0.0993,0.0902,0.85,0.0745,-26.307,0.0428,71.062
Thinking 'Bout You,171946,52,0.0856,0.802,0.481,0,0.152,-5.132,0.043,90.973
Strange Love,247282,0,0.00232,0.602,0.851,0.000345,0.155,-4.748,0.0473,89.995
God's Country,205106,72,0.0608,0.538,0.752,5.39e-06,0.118,-5.106,0.0396,139.984
"Verden Går Til Helvete, Tralala",244955,0,0.0788,0.717,0.729,0,0.096,-5.913,0.138,91.027
Younger,222320,65,0.202,0.745,0.477,0,0.12,-7.706,0.088,136.055
Weak,202193,0,0.127,0.672,0.642,0,0.137,-4.552,0.0461,123.984
Gold,225882,66,0.615,0.6,0.412,0.0025,0.134,-9.343,0.344,113.049
Everytime We Touch,199866,0,0.00328,0.64,0.989,2.07e-06,0.364,-3.707,0.0708,142.024
Brother,195320,58,0.218,0.509,0.809,0,0.0757,-6.179,0.0373,181.746
Step,251626,0,0.591,0.624,0.724,7.79e-06,0.101,-7.113,0.101,78.008
The Middle,168253,1,0.0424,0.629,0.897,0,0.263,-3.401,0.0483,161.944
Who's Laughing Now,234880,50,0.00453,0.785,0.841,2.97e-05,0.104,-4.041,0.189,100.034
Goodbye to You,251200,58,0.288,0.504,0.556,0.000246,0.173,-6.19,0.0263,81.008
Mo Bamba,183906,79,0.194,0.729,0.625,0.00986,0.248,-5.266,0.0315,146.034
Hypnotic,176786,0,0.0983,0.635,0.713,0,0.301,-5.246,0.0385,80.937
Love Is Blindness,198620,0,0.0583,0.3,0.848,0.00398,0.192,-4.31,0.115,156.559
We Should Go To France,186946,20,0.143,0.526,0.871,0.536,0.343,-6.407,0.0553,130.022
Come Home,158386,0,0.186,0.762,0.559,0.000229,0.0733,-6.762,0.0529,94.012
Fetish (feat. Gucci Mane),186112,72,0.0204,0.708,0.618,6.81e-06,0.062,-4.424,0.0592,123.013
Swervin (feat. 6ix9ine),189486,78,0.0153,0.581,0.662,0,0.111,-5.239,0.303,93.023
Bigger Than You (feat. Drake & Quavo),225893,62,0.247,0.888,0.515,0,0.446,-6.246,0.271,141.009
bury a friend,193143,77,0.74,0.905,0.389,0.162,0.106,-14.505,0.332,120.046
Where the Wild Roses Grow,237080,0,0.378,0.336,0.47,0.00332,0.0953,-10.541,0.0319,154.649
Instant Crush (feat. Julian Casablancas),337560,78,0.0422,0.775,0.585,0.619,0.077,-9.516,0.0271,109.942
If You Wait - 1,284851,0,0.969,0.377,0.0374,1.06e-05,0.0595,-14.636,0.0368,63.747
Break Your Heart,186266,63,0.00155,0.666,0.899,0,0.0677,-4.676,0.028,122.05
Gold Digger,207626,0,0.0192,0.646,0.696,0,0.0762,-5.572,0.342,92.88
By the Way,216973,58,0.016,0.452,0.976,0.00631,0.0985,-4.349,0.117,123.035
So Close,190302,73,0.121,0.7,0.872,7.08e-06,0.103,-5.896,0.0666,125.03
Say Something (feat. Chris Stapleton),278893,56,0.103,0.707,0.632,1.09e-05,0.0841,-7.031,0.0789,97.04
The Way,257093,65,0.143,0.646,0.882,9.67e-06,0.335,-5.648,0.0346,120.837
Suburban War,281106,0,0.0972,0.313,0.853,0.198,0.169,-5.808,0.0376,119.946
Love Cherry Motion,221847,55,0.0195,0.697,0.861,0,0.111,-3.798,0.0308,136.987
Should I Stay or Should I Go - Remastered,186093,54,0.0781,0.74,0.848,0,0.375,-6.437,0.144,113.381
Hydrangea,168888,39,0.511,0.602,0.148,0.934,0.121,-13.305,0.0369,81.042
