name,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
R U Mine?,201726,83,0.00616,0.288,0.758,0,0.303,-5.692,0.0371,97.094,4
Easier,157492,2,0.489,0.505,0.428,0,0.0977,-5.604,0.221,175.813,4
Loving Is Easy,155720,80,0.217,0.756,0.609,0.00474,0.096,-7.927,0.0544,117.023,4
ICY GRL,109302,71,0.0306,0.927,0.563,0,0.0736,-5.827,0.175,103.312,4
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,192452,78,0.269,0.737,0.747,0,0.219,-4.818,0.0323,105.943,4
Something Special,158466,57,0.252,0.739,0.616,1.93e-06,0.101,-6.963,0.0338,91.071,4
Carry On,129720,80,0.768,0.735,0.197,0.000276,0.296,-13.378,0.537,147.899,4
White Walls (feat. ScHoolboy Q & Hollis),220319,0,0.0541,0.767,0.782,0,0.338,-5.545,0.14,116.491,4
PLAYING WITH FIRE,197355,3,0.0399,0.707,0.758,0,0.141,-4.511,0.0917,97.037,4
Be Like That - feat. Swae Lee & Khalid,191406,81,0.0469,0.727,0.626,2.58e-05,0.126,-8.415,0.0726,86.97,4
Shots - Broiler Remix,191266,61,0.411,0.73,0.782,0.11,0.108,-7.109,0.0336,120.018,4
Piece Of Your Heart,152913,81,0.0404,0.677,0.744,0.00016,0.074,-6.806,0.0295,124.08,4
Angie,272000,76,0.67,0.429,0.554,0.000152,0.105,-6.128,0.0291,136.302,4
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,208320,65,0.332,0.509,0.79,6.67e-05,0.316,-3.782,0.0374,127.946,4
Down In the DM,182733,61,0.00157,0.776,0.662,2.1e-05,0.0887,-7.016,0.0489,152.927,4
"break up with your girlfriend, i'm bored",190440,81,0.0421,0.726,0.554,0,0.106,-5.29,0.0917,169.999,4
Ill Mind of Hopsin 5,289004,65,0.514,0.737,0.707,0,0.393,-11.113,0.448,98.121,4
Love It If We Made It,252925,72,0.000607,0.472,0.745,2.74e-05,0.0957,-5.297,0.0356,180.06,4
Heathens,195920,85,0.0841,0.732,0.396,3.58e-05,0.105,-9.348,0.0286,90.024,4
Torn,244666,62,0.0647,0.575,0.886,0.000187,0.709,-5.182,0.034,96.31,4
Black Skinhead,188013,80,0.0011,0.766,0.809,0,0.168,-6.123,0.279,130.127,4
Barefoot Blue Jean Night,167426,75,0.202,0.599,0.807,0,0.196,-4.679,0.0402,172.017,4
Don't Stop Believin',250986,85,0.127,0.5,0.748,0,0.447,-9.072,0.0363,118.852,4
Too Young,237146,69,0.271,0.602,0.635,3.2e-05,0.0829,-6.526,0.052,123.05,4
Spirit In The Sky,242893,0,0.0853,0.604,0.614,0.00403,0.108,-7.087,0.0317,129.137,4
My Type,126446,76,0.000677,0.899,0.811,0,0.0672,-6.294,0.258,105.038,4
Wasted,190013,68,0.00149,0.638,0.816,0.00115,0.195,-5.503,0.0308,112.014,4
Faith - Remastered,193200,78,0.0094,0.887,0.48,3.58e-05,0.0662,-11.994,0.117,95.846,4
Norf Norf,183160,71,0.396,0.925,0.549,0.000154,0.11,-6.572,0.0656,100.014,4
Heavydirtysoul,234813,74,0.00397,0.613,0.873,0.00111,0.367,-6.376,0.0449,129.989,4
Good as Hell (feat. Ariana Grande) - Remix,159011,73,0.298,0.668,0.892,0,0.735,-3.001,0.0645,95.927,4
May We All,226173,73,0.0409,0.514,0.918,0,0.342,-4.306,0.0365,150.033,4
Run Away With Me,251320,58,0.0126,0.564,0.719,0.000177,0.0536,-5.505,0.0475,119.023,4
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",215315,70,0.381,0.591,0.705,0.000116,0.131,-6.519,0.079,121.799,4
Dancing On My Own,260004,0,0.839,0.686,0.172,1.81e-05,0.0793,-8.722,0.0329,112.655,4
Hanging By A Moment,216066,71,0.00118,0.541,0.864,0,0.0896,-4.915,0.0357,124.557,4
Love Story,235280,55,0.157,0.618,0.736,0,0.073,-3.937,0.0308,118.982,4
Got the Life,225306,74,1.88e-05,0.501,0.905,0.765,0.383,-5.721,0.0518,123.277,4
Put Your Head on My Shoulder,155080,67,0.906,0.549,0.433,0.0108,0.0774,-8.526,0.0327,116.068,3
Unconditionally,228878,67,0.00266,0.397,0.725,0,0.208,-4.862,0.043,128.861,4
